2015-04-02 16:24:25,918 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2015-04-02 16:24:25,934 | INFO  | PListStore:C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2015-04-02 16:24:25,981 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-04-02 16:24:26,387 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-02 16:24:26,449 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-02 16:24:26,449 | INFO  | Recovery replayed 2 operations from the journal in 0.046 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-02 16:24:26,465 | INFO  | ActiveMQ 5.4.3 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2015-04-02 16:24:26,465 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2015-04-02 16:24:26,809 | INFO  | Listening for connections at: tcp://Cjhox:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-04-02 16:24:26,809 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2015-04-02 16:24:26,856 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:Cjhox-24883-1427984666481-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-04-02 16:24:26,981 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2015-04-02 16:24:27,496 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2015-04-02 16:24:27,715 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-04-02 16:24:28,340 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2015-04-02 16:24:28,403 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2015-04-02 16:24:28,481 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2015-04-02 16:24:28,996 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2015-04-02 16:25:43,598 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:24887
2015-04-02 16:47:03,491 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:24913
2015-04-02 16:54:05,618 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:24916
2015-04-02 16:54:18,215 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:24922
2015-04-02 16:54:32,952 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:24911
2015-04-05 19:31:29,457 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1134affc: startup date [Sun Apr 05 19:31:29 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-04-05 19:31:33,760 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2015-04-05 19:31:33,791 | INFO  | PListStore:C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2015-04-05 19:31:33,900 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-04-05 19:31:37,119 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-05 19:31:37,307 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-05 19:31:37,307 | INFO  | Recovery replayed 2 operations from the journal in 0.157 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-05 19:31:37,385 | INFO  | ActiveMQ 5.4.3 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2015-04-05 19:31:37,385 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2015-04-05 19:31:38,150 | INFO  | Listening for connections at: tcp://Cjhox:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-04-05 19:31:38,150 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2015-04-05 19:31:38,182 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:Cjhox-52291-1428255097447-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-04-05 19:31:38,432 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
2015-04-05 19:31:39,338 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2015-04-05 19:31:39,822 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2015-04-05 19:31:41,119 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.util.log | main
2015-04-05 19:31:41,322 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.util.log | main
2015-04-05 19:31:41,447 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.util.log | main
2015-04-05 19:31:42,354 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.util.log | main
2015-04-05 19:32:40,596 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52297
2015-04-05 19:36:32,609 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52301
2015-04-05 19:36:36,470 | INFO  | Transport failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:52299
2015-04-09 10:47:39,846 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1134affc: startup date [Thu Apr 09 10:47:39 CEST 2015]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2015-04-09 10:47:42,362 | WARN  | destroyApplicationContextOnStop parameter is deprecated, please use shutdown hooks instead | org.apache.activemq.xbean.XBeanBrokerService | main
2015-04-09 10:47:42,362 | INFO  | PListStore:C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\localhost\tmp_storage started | org.apache.activemq.store.kahadb.plist.PListStore | main
2015-04-09 10:47:42,409 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Joel\Desktop\Projekte\Rupert\Git\rupert\Code\Apache ActiveMQ\apache-activemq-5.4.3\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2015-04-09 10:47:43,331 | INFO  | KahaDB is version 3 | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-09 10:47:43,424 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-09 10:47:43,424 | INFO  | Recovery replayed 2 operations from the journal in 0.062 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2015-04-09 10:47:43,440 | INFO  | ActiveMQ 5.4.3 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2015-04-09 10:47:43,440 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2015-04-09 10:47:43,924 | INFO  | Listening for connections at: tcp://Cjhox:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2015-04-09 10:47:43,924 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2015-04-09 10:47:43,940 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:Cjhox-38564-1428569263471-0:1) started | org.apache.activemq.broker.BrokerService | main
2015-04-09 10:47:44,081 | INFO  | jetty-7.1.6.v20100715 | org.eclipse.jetty.util.log | main
